videoId,title,channelTitle,publishTime
e20vaAtncsM,"What are CHEMTRAILS? Proving they EXIST by ""CAPTAIN"" Joe",Captain Joe,2017-03-29T15:24:56Z
5bpQ9-IQffw,What Really Causes Chemtrails?,Today I Found Out,2018-09-26T07:52:52Z
iyW_-tHf0Qw,Joe Rogan on Chemtrails,JRE Clips,2017-12-12T21:45:08Z
c8SwOnmDSQ0,Why a Harvard scientist is pretty confident chemtrails don't exist,CBC News,2016-08-26T17:30:50Z
yziiGH3lZ54,Fighter Pilot Reveals SHOCKING TRUTH about CHEMTRAILS!,C.W. Lemoine,2019-06-17T11:19:51Z
LnFc5ISF96I,For The Chemtrail Fans,AIRBOYD,2018-08-10T18:12:12Z
PNatkPqC0J0,Chemtrails Proven,AgentJayZ,2015-03-30T02:11:10Z
ZonPvpgcBc0,Chemtrails,Reactions,2018-02-01T15:45:07Z
GCHCi511sho,"Chem Trails Revealed! Well, Cloudseeding",AVweb,2019-11-02T18:00:25Z
WyHoaThrxSs,"What Are Airplane Chemtrails, Really?",Seeker,2016-07-28T16:13:08Z
A0X3BaifKO4,Chemtrails? in My Organic Vegetable Garden & How to Remove Them,Learn Organic Gardening at GrowingYourGreens,2013-02-26T19:28:19Z
67ZKmVWB3tY,Aerosol Crimes (aka Chemtrail Crimes) HQ edition,innomind,2011-02-28T07:03:07Z
IqATQtwOY34,"""Chemtrails"" — How They Affect You and What You Can Do",THRIVE Movement,2013-08-01T18:51:16Z
gBdIgWPqSxM,Chemtrail Conspiracy Theorist Destroyed By Little Stick Figure,Professor Stick,2019-05-01T18:32:39Z
AJIJAFvvQwQ,Why in the World are They Spraying - Documentary,Bill ilyas,2014-05-15T19:21:10Z
MMIW4mS5QpI,Debunking Chemtrails - Depopulation & the Space Preservation Act – #3,Myles Power,2017-09-22T15:30:56Z
p5jvpWGYdUY,Prince and chemtrails,Larry Keen Channel,2017-09-21T16:08:39Z
B6MLwtkv3eY,100% Proof We are being poisoned by chemtrails,Kevys Rc & Music,2016-05-20T04:06:27Z
